Site ID,Name
10.238.97.133,HBR0019-ATN-950C-ASG-1
10.238.97.132,HBR0008-ATN-950C-ASG-1
10.238.97.131,HBR0006-ATN-950C-ASG-1
10.238.97.136,HBR0004-ATN-950C-ASG-1
10.238.97.134,HBR0002-ATN-950C-ASG-1
10.238.97.130,HBR0005-ATN-950C-ASG-1
10.237.1.206,HAB0166-ATN950C-CSG
10.237.1.200,HAB0940-ATN910C-ASG
10.237.1.199,AB0139-CX600-X2-M8-CSG
10.237.1.192,HAB0066-ATN950C-ASG
10.237.1.191,AB0089-CX600-X2-M8-ASG
10.237.1.193,AB0486-ATN-910C-ASG
10.237.1.209,AB0083-ATN950C-CSG
10.237.1.207,HAB0789-ATN-950C-ASG
10.237.1.208,HAB0025-ATN-950C-CSG
10.237.1.203,HAB0042-ATN-950C-CSG
10.237.1.202,AB0926-ATN-910C-CSG
10.237.1.201,AB0163-ATN950C-ASG
10.238.97.165,HPL0005-ATN910C-ASG
10.238.65.46,HUGPY01-ATN950C-ASG
10.238.65.45,HCRR049-ATN910C-ASG
10.238.129.203,AN0133-CX600-X2-M8A-ASG-1
10.238.65.21,EN0077-ATN910C-ASG
10.238.65.32,HEN0025-ATN950C-CSG
10.238.129.158,HDL0115-ATN910C-ASG-1
10.238.129.157,DL0114-ATN-910C-ASG
10.238.129.159,HDL0119-ATN-910C-ASG
10.238.129.215,HAN0502-ATN-910C-ASG-1
10.237.1.194,HAB0122-ATN950C-ASG
10.237.1.234,~HKG0043-ATN950C-ASG-1
10.238.97.145,BR0009-ATN950C-ASG
10.237.1.134,HBN0019-ATN950C-ASG
10.237.33.13,HAK0074-ATN-950C-CSG
10.238.97.151,JG0013-ATN950C-ASG
10.237.1.228,HKG0085-ATN-950C-ASG-1
10.237.33.166,RV0088-CX600-X2-M8A-ASG-1
10.238.1.201,KB0001-ATN910C-CSG
10.238.129.216,HAN0050-ATN910C-CSG
10.238.1.200,KB0002-ATN910C-ASG
10.238.1.5,HKD0004-ATN-950C-ASG-1
10.238.1.4,HKD0022-ATN-950C-CSG
10.238.1.3,HKD0008-ATN-950C-ASG-1
10.238.65.17,HEN0037-ATN950C-ASG-1
10.237.33.5,UYO-CX600-X2M8-RSG-1
10.238.65.10,EN0002-ATN950C-CSG-1
10.238.65.7,HEN0067-ATN950C-ASG-1
10.237.33.15,HAK0077-ATN950C-ASG-1
10.237.33.17,HAK0087-ATN950C-ASG-1
10.237.33.9,HAK0018-ATN950C-ASG-1
10.237.33.16,HAK0079-ATN950C-ASG-1
10.237.33.6,UYO-CX600-X2M8-RSG-2
10.237.1.4,HAB0004-CX600-X2-M8-ASG-1
10.237.1.3,HAB0002-CX600-X2-M8-ASG1
10.237.1.5,HAB0009-CX600-X8-ASG
10.237.1.6,HAB0017-CX600-X2-M8-ASG-1
10.237.1.2,ABJ0026-CX600-X8-RSG-2
10.237.1.8,HAB0952-CX600-X8-ASG
10.237.1.18,HAB0032-CX600-X2-M8-CSG-1
10.237.1.17,HAB0030-CX600-X2-M8-ASG-1
10.237.1.16,HAB0027-CX600-X2-M8-ASG-1
10.237.1.1,ABJ0026-CX600-X8-RSG-1
10.237.1.20,HAB0043-ATN950C-ASG-1
10.237.1.13,HAB0014-CX600-X2-M8-ASG-1
10.237.1.12,HAB0013-CX600-X2-M8-ASG8
10.237.1.14,HAB1125-CX600-X2-M8-ASG
10.237.1.11,HAB0010-CX600-X2-M8-ASG-1
10.237.1.15,HAB0022-CX600-X2-M8-ASG
10.237.1.21,HAB0064-CX600-X2-M8-ASG
10.237.1.22,AB0075-CX600-X2-M8-ASG1
10.237.1.24,HAB0131-CX600-X2-M8-ASG
10.237.1.19,HAB0037-CX600-X2-M8-ASG
10.237.1.10,HAB0008-CX600-X2-M8-ASG1
10.237.1.9,HAB0006-CX600-X2-M8-ASG-1
